member,magnitude(kg/m)
0,1080.0
1,1080.0
2,1080.0
3,1080.0
4,1080.0
5,1080.0
6,1080.0
7,1080.0
8,1080.0
9,1080.0
10,1080.0
11,1080.0
12,1080.0
13,1080.0
14,1080.0
15,1080.0
16,1080.0
17,1080.0
18,1080.0
19,1080.0
20,1080.0
21,1080.0
22,1080.0
23,1080.0
24,1080.0
25,1080.0
26,1080.0
27,1080.0
28,1080.0
29,1080.0
30,1080.0
31,1080.0
32,1080.0
33,1080.0
34,1080.0
35,1080.0
36,1080.0
37,1080.0
38,1080.0
39,1080.0
40,1080.0
41,1080.0
42,1080.0
43,1080.0
44,1080.0
45,1080.0
46,1080.0
47,1080.0
48,1080.0
49,1080.0
50,1080.0
51,1080.0
52,1080.0
53,1080.0
54,1080.0
55,1080.0
56,1080.0
57,1080.0
58,1080.0
59,1080.0
60,1080.0
61,1080.0
62,1080.0
63,1080.0
64,1080.0
65,1080.0
66,1080.0
67,1080.0
68,1080.0
69,1080.0
70,1080.0
71,1080.0
72,1080.0
73,1080.0
74,1080.0
75,1080.0
76,1080.0
77,1080.0
78,1080.0
79,1080.0
80,1080.0
81,1080.0
82,1080.0
83,1080.0
84,1080.0
85,1080.0
86,1080.0
87,1080.0
88,1080.0
89,1080.0
90,1080.0
91,1080.0
92,1080.0
93,1080.0
94,1080.0
95,1080.0
96,1080.0
97,1080.0
98,1080.0
99,1080.0
100,1080.0
101,1080.0
102,1080.0
103,1080.0
104,1080.0
105,1080.0
106,1080.0
107,1080.0
108,1080.0
109,1080.0
110,1080.0
111,1080.0
112,1080.0
113,1080.0
114,1080.0
115,1080.0
116,1080.0
117,1080.0
118,1080.0
119,1080.0
120,1080.0
121,1080.0
122,1080.0
123,1080.0
124,1080.0
125,1080.0
126,1080.0
127,1080.0
128,1080.0
129,1080.0
130,1080.0
131,1080.0
132,1080.0
133,1080.0
134,1080.0
135,1080.0
136,1080.0
137,1080.0
138,1080.0
139,1080.0
140,1080.0
141,1080.0
142,1080.0
143,1080.0
144,1080.0
145,1080.0
146,1080.0
147,1080.0
148,1080.0
149,1080.0
150,1080.0
151,1080.0
152,1080.0
153,1080.0
154,1080.0
155,1080.0
156,1080.0
157,1080.0
158,1080.0
159,1080.0
