num,x,y
0,0.000000,0.000000
1,0.750000,0.000000
2,1.500000,0.000000
3,2.250000,0.000000
4,3.000000,0.000000
5,3.750000,0.000000
6,4.500000,0.000000
7,5.250000,0.000000
8,6.000000,0.000000
9,0.000000,0.375000
10,1.500000,0.375000
11,3.000000,0.375000
12,4.500000,0.375000
13,6.000000,0.375000
14,0.000000,0.750000
15,0.750000,0.750000
16,1.500000,0.750000
17,2.250000,0.750000
18,3.000000,0.750000
19,3.750000,0.750000
20,4.500000,0.750000
21,5.250000,0.750000
22,6.000000,0.750000
23,0.000000,1.125000
24,1.500000,1.125000
25,3.000000,1.125000
26,4.500000,1.125000
27,6.000000,1.125000
28,0.000000,1.500000
29,0.750000,1.500000
30,1.500000,1.500000
31,2.250000,1.500000
32,3.000000,1.500000
33,3.750000,1.500000
34,4.500000,1.500000
35,5.250000,1.500000
36,6.000000,1.500000
37,0.000000,1.875000
38,1.500000,1.875000
39,3.000000,1.875000
40,4.500000,1.875000
41,6.000000,1.875000
42,0.000000,2.250000
43,0.750000,2.250000
44,1.500000,2.250000
45,2.250000,2.250000
46,3.000000,2.250000
47,3.750000,2.250000
48,4.500000,2.250000
49,5.250000,2.250000
50,6.000000,2.250000
51,0.000000,2.625000
52,1.500000,2.625000
53,3.000000,2.625000
54,4.500000,2.625000
55,6.000000,2.625000
56,0.000000,3.000000
57,0.750000,3.000000
58,1.500000,3.000000
59,2.250000,3.000000
60,3.000000,3.000000
61,3.750000,3.000000
62,4.500000,3.000000
63,5.250000,3.000000
64,6.000000,3.000000
