num,x,y
0,0,0
1,0.75,0
2,1.5,0
3,2.25,0
4,3.0,0
5,3.75,0
6,4.5,0
7,5.25,0
8,6.0,0
9,0,0.375
10,1.5,0.375
11,3.0,0.375
12,4.5,0.375
13,6.0,0.375
14,0,0.75
15,0.75,0.75
16,1.5,0.75
17,2.25,0.75
18,3.0,0.75
19,3.75,0.75
20,4.5,0.75
21,5.25,0.75
22,6.0,0.75
23,0,1.125
24,1.5,1.125
25,3.0,1.125
26,4.5,1.125
27,6.0,1.125
28,0,1.5
29,0.75,1.5
30,1.5,1.5
31,2.25,1.5
32,3.0,1.5
33,3.75,1.5
34,4.5,1.5
35,5.25,1.5
36,6.0,1.5
37,0,1.875
38,1.5,1.875
39,3.0,1.875
40,4.5,1.875
41,6.0,1.875
42,0,2.25
43,0.75,2.25
44,1.5,2.25
45,2.25,2.25
46,3.0,2.25
47,3.75,2.25
48,4.5,2.25
49,5.25,2.25
50,6.0,2.25
51,0,2.625
52,1.5,2.625
53,3.0,2.625
54,4.5,2.625
55,6.0,2.625
56,0,3.0
57,0.75,3.0
58,1.5,3.0
59,2.25,3.0
60,3.0,3.0
61,3.75,3.0
62,4.5,3.0
63,5.25,3.0
64,6.0,3.0
