num,section,element_type,nodes
0,plate,Q8R,5-22-6-23-17-24-16-25
1,plate,Q8R,6-26-0-27-7-28-17-23
2,plate,Q8R,7-29-1-30-8-31-17-28
3,plate,Q8R,17-31-8-32-9-33-16-24
4,plate,Q8R,9-34-2-35-5-25-16-33
5,plate,Q8R,10-36-1-29-7-37-18-38
6,plate,Q8R,7-27-0-39-11-40-18-37
7,plate,Q8R,11-41-3-42-10-38-18-40
8,plate,Q8R,12-43-13-44-20-45-19-46
9,plate,Q8R,13-47-4-48-14-49-20-44
10,plate,Q8R,14-50-0-26-6-51-20-49
11,plate,Q8R,20-51-6-22-5-52-19-45
12,plate,Q8R,5-35-2-53-12-46-19-52
13,plate,Q8R,11-39-0-50-14-54-21-55
14,plate,Q8R,14-48-4-56-15-57-21-54
15,plate,Q8R,15-58-3-41-11-55-21-57
