num,x,y
0,0.02,0
1,0.0357,0.09341
2,-0.1,-0.00061
3,0.1,0
4,0.03409,-0.09401
5,-0.05892,-0.00005
6,-0.01959,-0.00001
7,0.02459,0.04615
8,-0.03137,0.09495
9,-0.08187,0.05742
10,0.0819,0.05738
11,0.05925,0
12,-0.08164,-0.05775
13,-0.03365,-0.09417
14,0.02446,-0.0462
15,0.08258,-0.0564
16,-0.05326,0.0356
17,-0.0199,0.04417
18,0.05511,0.03504
19,-0.05345,-0.03555
20,-0.02056,-0.04398
21,0.05496,-0.03513
22,-0.03925,-0.00003
23,-0.01975,0.02208
24,-0.03658,0.03988
25,-0.05609,0.01777
26,0.0002,-0.00001
27,0.0223,0.02307
28,0.00235,0.04516
29,0.03015,0.06978
30,0.0023,0.09997
31,-0.02564,0.06956
32,-0.05965,0.08026
33,-0.06756,0.04651
34,-0.09545,0.02982
35,-0.07946,-0.00033
36,0.0615,0.07885
37,0.03985,0.04059
38,0.06851,0.04621
39,0.03962,0
40,0.05718,0.01752
41,0.07962,0
42,0.09537,0.03008
43,-0.06045,-0.07966
44,-0.0271,-0.06908
45,-0.037,-0.03977
46,-0.06754,-0.04665
47,0.00023,-0.1
48,0.02928,-0.0701
49,0.00195,-0.04509
50,0.02223,-0.0231
51,-0.02007,-0.022
52,-0.05618,-0.0178
53,-0.09521,-0.03059
54,0.03971,-0.04066
55,0.05711,-0.01756
56,0.06129,-0.07902
57,0.06877,-0.04576
58,0.09555,-0.02951
