node,dof
25,0
118,0
4,0
146,0
28,0
148,0
29,0
150,0
30,0
152,0
3,0
105,0
16,0
107,0
17,0
90,0
18,0
94,0
1,0
78,0
11,0
80,0
12,0
82,0
13,0
84,0
14,0
86,0
15,0
88,0
2,0
135,0
21,0
137,0
22,0
108,0
23,0
112,0
24,0
115,0
25,1
118,1
4,1
146,1
28,1
148,1
29,1
150,1
30,1
152,1
3,1
105,1
16,1
107,1
17,1
90,1
18,1
94,1
1,1
78,1
11,1
80,1
12,1
82,1
13,1
84,1
14,1
86,1
15,1
88,1
2,1
135,1
21,1
137,1
22,1
108,1
23,1
112,1
24,1
115,1
25,2
118,2
4,2
146,2
28,2
148,2
29,2
150,2
30,2
152,2
3,2
105,2
16,2
107,2
17,2
90,2
18,2
94,2
1,2
78,2
11,2
80,2
12,2
82,2
13,2
84,2
14,2
86,2
15,2
88,2
2,2
135,2
21,2
137,2
22,2
108,2
23,2
112,2
24,2
115,2
