num,x,y
0,0.0227,-0.00004
1,0.03552,0.09348
2,-0.1,-0.00035
3,0.1,0
4,0.03397,-0.09405
5,-0.07422,0.00006
6,-0.0506,0.00002
7,-0.02657,-0.00005
8,-0.00169,-0.00005
9,0.02423,0.03065
10,0.02727,0.0634
11,0.00092,0.1
12,-0.03491,0.09371
13,-0.06387,0.07694
14,-0.08272,0.05619
15,-0.09511,0.03089
16,0.09471,0.0321
17,0.08177,0.05757
18,0.06308,0.0776
19,0.04709,0
20,0.07217,0.00006
21,-0.09475,-0.03197
22,-0.08196,-0.05729
23,-0.06361,-0.07716
24,-0.03617,-0.09323
25,-0.00182,-0.09998
26,0.02671,-0.06119
27,0.02379,-0.03089
28,0.06323,-0.07747
29,0.08244,-0.0566
30,0.09501,-0.03119
31,-0.06945,0.04576
32,-0.00023,0.06388
33,-0.02781,0.06087
34,-0.05293,0.05279
35,-0.07234,0.02608
36,-0.05068,0.02723
37,-0.02659,0.02982
38,-0.00107,0.03107
39,0.06834,0.04636
40,0.05173,0.05384
41,0.07086,0.02663
42,0.04848,0.02778
43,-0.06914,-0.04611
44,-0.00101,-0.06351
45,-0.02786,-0.06107
46,-0.05276,-0.05298
47,-0.07214,-0.0264
48,-0.0014,-0.03116
49,-0.02656,-0.02997
50,-0.05051,-0.02733
51,0.06854,-0.04599
52,0.05167,-0.05313
53,0.07098,-0.02625
54,0.04838,-0.02757
55,-0.06241,0.00004
56,-0.05064,0.01362
57,-0.06151,0.02665
58,-0.07328,0.01307
59,-0.03858,-0.00002
60,-0.02658,0.01489
61,-0.03864,0.02853
62,-0.01413,-0.00005
63,-0.00138,0.01551
64,-0.01383,0.03045
65,0.01051,-0.00005
66,0.02347,0.0153
67,0.01158,0.03086
68,-0.05181,0.04001
69,-0.06119,0.04928
70,-0.0709,0.03592
71,-0.0272,0.04535
72,-0.04037,0.05683
73,-0.00065,0.04748
74,-0.01402,0.06237
75,0.02575,0.04703
76,0.01352,0.06364
77,0.03139,0.07844
78,0.01851,0.09827
79,0.00035,0.08194
80,-0.01728,0.09849
81,-0.03136,0.07729
82,-0.0501,0.08654
83,-0.0584,0.06487
84,-0.07403,0.06723
85,-0.07609,0.05098
86,-0.08981,0.04398
87,-0.08372,0.02849
88,-0.0988,0.01547
89,-0.08711,-0.00014
90,0.07311,0.06823
91,0.0574,0.06572
92,0.06004,0.0501
93,0.07505,0.05197
94,0.04993,0.08664
95,0.0395,0.05862
96,0.03635,0.02921
97,0.0501,0.04081
98,0.0349,-0.00002
99,0.04778,0.01389
100,0.05967,0.0272
101,0.0696,0.03649
102,0.05963,0.00003
103,0.07152,0.01334
104,0.08608,0.00003
105,0.09867,0.01627
106,0.08279,0.02937
107,0.08915,0.0453
108,-0.07346,-0.06785
109,-0.05819,-0.06507
110,-0.06095,-0.04954
111,-0.07555,-0.0517
112,-0.05053,-0.08629
113,-0.03201,-0.07715
114,-0.04031,-0.05702
115,-0.01929,-0.09812
116,-0.00142,-0.08175
117,-0.01443,-0.06229
118,0.01634,-0.09866
119,0.03034,-0.07762
120,0.01285,-0.06235
121,0.02525,-0.04604
122,0.0112,-0.03103
123,-0.0012,-0.04734
124,0.02325,-0.01547
125,-0.00155,-0.01561
126,-0.01398,-0.03056
127,-0.02721,-0.04552
128,-0.02657,-0.01501
129,-0.03854,-0.02865
130,-0.05164,-0.04016
131,-0.05056,-0.01366
132,-0.06133,-0.02687
133,-0.07064,-0.03625
134,-0.07318,-0.01317
135,-0.09865,-0.01637
136,-0.08344,-0.02919
137,-0.08926,-0.04508
138,0.04774,-0.01378
139,0.05968,-0.02691
140,0.07157,-0.0131
141,0.03609,-0.02923
142,0.05003,-0.04035
143,0.06011,-0.04956
144,0.06976,-0.03612
145,0.03919,-0.05716
146,0.0493,-0.087
147,0.05745,-0.0653
148,0.07358,-0.06772
149,0.07549,-0.0513
150,0.08963,-0.04434
151,0.083,-0.02872
152,0.09875,-0.01579
