num,section,element_type,nodes
0,plate,Q8R,0-1-2-12-21-23-25-13
1,plate,Q8R,2-3-4-11-19-20-21-12
2,plate,Q8R,4-5-6-10-16-17-19-11
3,plate,Q8R,6-7-8-9-14-15-16-10
4,plate,Q8R,25-23-21-30-41-44-50-34
5,plate,Q8R,21-20-19-27-35-38-41-30
6,plate,Q8R,19-17-16-22-29-31-35-27
7,plate,Q8R,16-15-14-18-24-26-29-22
8,plate,Q8R,50-44-41-57-69-77-84-67
9,plate,Q8R,41-38-35-42-56-60-69-57
10,plate,Q8R,35-31-29-33-40-45-56-42
11,plate,Q8R,29-26-24-28-32-37-40-33
12,plate,Q8R,84-77-69-79-88-97-102-94
13,plate,Q8R,69-60-56-65-76-85-88-79
14,plate,Q8R,56-45-40-48-58-66-76-65
15,plate,Q8R,40-37-32-36-39-46-58-48
16,plate,Q8R,102-97-88-96-101-109-114-110
17,plate,Q8R,88-85-76-80-86-95-101-96
18,plate,Q8R,76-66-58-64-68-78-86-80
19,plate,Q8R,58-46-39-43-47-59-68-64
20,plate,Q8R,114-109-101-103-104-111-116-115
21,plate,Q8R,101-95-86-87-89-98-104-103
22,plate,Q8R,86-78-68-70-71-81-89-87
23,plate,Q8R,68-59-47-49-51-61-71-70
24,plate,Q8R,116-111-104-105-106-112-118-117
25,plate,Q8R,104-98-89-90-91-99-106-105
26,plate,Q8R,89-81-71-72-73-82-91-90
27,plate,Q8R,71-61-51-52-53-62-73-72
28,plate,Q8R,118-112-106-107-108-113-120-119
29,plate,Q8R,106-99-91-92-93-100-108-107
30,plate,Q8R,91-82-73-74-75-83-93-92
31,plate,Q8R,73-62-53-54-55-63-75-74
