node,dof
8,0
8,1
8,2

9,0
9,1
9,2

14,0
14,1
14,2

18,0
18,1
18,2

24,0
24,1
24,2

28,0
28,1
28,2

32,0
32,1
32,2

36,0
36,1
36,2

39,0
39,1
39,2

43,0
43,1
43,2

47,0
47,1
47,2

49,0
49,1
49,2

51,0
51,1
51,2

52,0
52,1
52,2

53,0
53,1
53,2

54,0
54,1
54,2

55,0
55,1
55,2

0,0
0,1
0,2

13,0
13,1
13,2

25,0
25,1
25,2

34,0
34,1
34,2

50,0
50,1
50,2

67,0
67,1
67,2

84,0
84,1
84,2

94,0
94,1
94,2

102,0
102,1
102,2

110,0
110,1
110,2

114,0
114,1
114,2

115,0
115,1
115,2

116,0
116,1
116,2

117,0
117,1
117,2

118,0
118,1
118,2

119,0
119,1
119,2

120,0
120,1
120,2
