num,x,y
0,0,0
1,0.25,0
2,0.5,0
3,0.75,0
4,1,0
5,1.25,0
6,1.5,0
7,1.75,0
8,2,0
9,2,0.25
10,1.5,0.3125
11,1,0.375
12,0.5,0.4375
13,0,0.5
14,2,0.5
15,1.75,0.5625
16,1.5,0.625
17,1.25,0.6875
18,2,0.75
19,1,0.75
20,0.75,0.8125
21,0.5,0.875
22,1.5,0.9375
23,0.25,0.9375
24,2,1
25,0,1
26,1.75,1.125
27,1,1.125
28,2.0381,1.1913
29,1.5,1.25
30,0.5,1.3125
31,1.25,1.375
32,2.0761,1.3827
33,1.5476,1.4892
34,0,1.5
35,1,1.5
36,2.1845,1.5449
37,1.8356,1.5555
38,0.75,1.625
39,2.2929,1.7071
40,1.5952,1.7284
41,0.5,1.75
42,1.0571,1.787
43,2.4551,1.8155
44,0.25,1.875
45,1.3547,1.9012
46,2.0795,1.9205
47,2.6173,1.9239
48,1.7306,1.9311
49,2.8087,1.9619
50,0,2
51,3,2
52,3.25,2
53,3.5,2
54,3.75,2
55,4,2
56,1.1142,2.074
57,0.5666,2.0848
58,1.8661,2.1339
59,2.4445,2.1644
60,0.8737,2.2469
61,2.875,2.25
62,3.4375,2.25
63,4,2.25
64,2.0689,2.2694
65,1.2768,2.3173
66,1.6527,2.3473
67,0.0761,2.3827
68,2.2716,2.4048
69,0.6332,2.4197
70,2.5108,2.4524
71,2.75,2.5
72,3.0625,2.5
73,3.375,2.5
74,3.6875,2.5
75,4,2.5
76,1.4393,2.5607
77,0.3927,2.5925
78,2.0988,2.6453
79,0.8229,2.7036
80,1.6827,2.7232
81,2.625,2.75
82,3.3125,2.75
83,4,2.75
84,0.1522,2.7654
85,1.226,2.774
86,1.926,2.8858
87,2.213,2.9429
88,1.0126,2.9874
89,2.5,3
90,2.875,3
91,3.25,3
92,3.625,3
93,4,3
94,0.369,3.0898
95,1.7531,3.1263
96,1.2964,3.1771
97,0.7992,3.2008
98,2.375,3.25
99,3.1875,3.25
100,4,3.25
101,1.5803,3.3668
102,0.5858,3.4142
103,1.9152,3.4334
104,2.25,3.5
105,2.6875,3.5
106,3.125,3.5
107,3.5625,3.5
108,4,3.5
109,1.4075,3.6073
110,0.9102,3.631
111,2.125,3.75
112,3.0625,3.75
113,4,3.75
114,1.2346,3.8478
115,1.6173,3.9239
116,2,4
117,2.5,4
118,3,4
119,3.5,4
120,4,4
