node,dof
0,0
24,0
304,0
328,0
1,0
1,2
2,0
2,2
3,0
3,2
4,0
4,2
5,0
5,2
6,0
6,2
7,0
7,2
8,0
8,2
9,0
9,2
10,0
10,2
11,0
11,2
12,0
12,2
13,0
13,2
14,0
14,2
15,0
15,2
16,0
16,2
17,0
17,2
18,0
18,2
19,0
19,2
20,0
20,2
21,0
21,2
22,0
22,2
23,0
23,2
37,0
37,1
62,0
62,1
75,0
75,1
100,0
100,1
113,0
113,1
138,0
138,1
151,0
151,1
176,0
176,1
189,0
189,1
214,0
214,1
227,0
227,1
252,0
252,1
265,0
265,1
290,0
290,1
303,0
303,1
305,0
305,2
306,0
306,2
307,0
307,2
308,0
308,2
309,0
309,2
310,0
310,2
311,0
311,2
312,0
312,2
313,0
313,2
314,0
314,2
315,0
315,2
316,0
316,2
317,0
317,2
318,0
318,2
319,0
319,2
320,0
320,2
321,0
321,2
322,0
322,2
323,0
323,2
324,0
324,2
325,0
325,2
326,0
326,2
327,0
327,2
25,0
25,1
38,0
38,1
63,0
63,1
76,0
76,1
101,0
101,1
114,0
114,1
139,0
139,1
152,0
152,1
177,0
177,1
190,0
190,1
215,0
215,1
228,0
228,1
253,0
253,1
266,0
266,1
291,0
291,1
