num,x,y
0,0.000000,0.000000
1,1.000000,0.000000
2,2.000000,0.000000
3,3.000000,0.000000
4,4.000000,0.000000
5,5.000000,0.000000
6,6.000000,0.000000
7,0.000000,1.000000
8,2.000000,1.000000
9,4.000000,1.000000
10,6.000000,1.000000
11,0.000000,2.000000
12,1.000000,2.000000
13,2.000000,2.000000
14,3.000000,2.000000
15,4.000000,2.000000
16,5.000000,2.000000
17,6.000000,2.000000
18,0.000000,3.000000
19,2.000000,3.000000
20,4.000000,3.000000
21,6.000000,3.000000
22,0.000000,4.000000
23,1.000000,4.000000
24,2.000000,4.000000
25,3.000000,4.000000
26,4.000000,4.000000
27,5.000000,4.000000
28,6.000000,4.000000
