num,section,element_type,nodes
0,plate,Q8R,0-1-2-14-22-21-20-13
1,plate,Q8R,2-3-4-15-24-23-22-14
2,plate,Q8R,4-5-6-16-26-25-24-15
3,plate,Q8R,6-7-8-17-28-27-26-16
4,plate,Q8R,8-9-10-18-30-29-28-17
5,plate,Q8R,10-11-12-19-32-31-30-18
6,plate,Q8R,20-21-22-34-42-41-40-33
7,plate,Q8R,22-23-24-35-44-43-42-34
8,plate,Q8R,24-25-26-36-46-45-44-35
9,plate,Q8R,26-27-28-37-48-47-46-36
10,plate,Q8R,28-29-30-38-50-49-48-37
11,plate,Q8R,30-31-32-39-52-51-50-38
12,plate,Q8R,40-41-42-54-62-61-60-53
13,plate,Q8R,42-43-44-55-64-63-62-54
14,plate,Q8R,44-45-46-56-66-65-64-55
15,plate,Q8R,46-47-48-57-68-67-66-56
16,plate,Q8R,48-49-50-58-70-69-68-57
17,plate,Q8R,50-51-52-59-72-71-70-58
18,plate,Q8R,60-61-62-74-82-81-80-73
19,plate,Q8R,62-63-64-75-84-83-82-74
20,plate,Q8R,64-65-66-76-86-85-84-75
21,plate,Q8R,66-67-68-77-88-87-86-76
22,plate,Q8R,68-69-70-78-90-89-88-77
23,plate,Q8R,70-71-72-79-92-91-90-78
