num,section,element_type,nodes
0,plate,Q8R,13-88-14-89-62-90-59-91
1,plate,Q8R,14-92-15-93-63-94-62-89
2,plate,Q8R,15-95-0-96-16-97-63-93
3,plate,Q8R,59-90-62-98-58-99-56-100
4,plate,Q8R,62-94-63-101-57-102-58-98
5,plate,Q8R,63-97-16-103-17-104-57-101
6,plate,Q8R,17-105-1-106-18-107-57-104
7,plate,Q8R,57-107-18-108-19-109-58-102
8,plate,Q8R,58-109-19-110-20-111-56-99
9,plate,Q8R,20-112-21-113-60-114-56-111
10,plate,Q8R,21-115-2-116-22-117-60-113
11,plate,Q8R,22-118-23-119-64-120-60-117
12,plate,Q8R,23-121-3-122-24-123-64-119
13,plate,Q8R,60-120-64-124-61-125-56-114
14,plate,Q8R,64-123-24-126-25-127-61-124
15,plate,Q8R,25-128-26-129-65-130-61-127
16,plate,Q8R,26-131-4-132-12-133-65-129
17,plate,Q8R,61-130-65-134-59-100-56-125
18,plate,Q8R,65-133-12-135-13-91-59-134
19,plate,Q8R,28-136-1-105-17-137-66-138
20,plate,Q8R,17-103-16-139-67-140-66-137
21,plate,Q8R,16-96-0-141-29-142-67-139
22,plate,Q8R,29-143-30-144-70-145-67-142
23,plate,Q8R,30-146-5-147-31-148-70-144
24,plate,Q8R,67-145-70-149-68-150-66-140
25,plate,Q8R,70-148-31-151-32-152-68-149
26,plate,Q8R,32-153-33-154-71-155-68-152
27,plate,Q8R,33-156-6-157-34-158-71-154
28,plate,Q8R,68-155-71-159-69-160-66-150
29,plate,Q8R,71-158-34-161-35-162-69-159
30,plate,Q8R,35-163-7-164-27-165-69-162
31,plate,Q8R,69-165-27-166-28-138-66-160
32,plate,Q8R,37-167-8-168-38-169-72-170
33,plate,Q8R,38-171-39-172-73-173-72-169
34,plate,Q8R,39-174-9-175-40-176-73-172
35,plate,Q8R,40-177-41-178-76-179-73-176
36,plate,Q8R,41-180-10-181-42-182-76-178
37,plate,Q8R,73-179-76-183-74-184-72-173
38,plate,Q8R,76-182-42-185-43-186-74-183
39,plate,Q8R,43-187-44-188-77-189-74-186
40,plate,Q8R,44-190-3-121-23-191-77-188
41,plate,Q8R,74-189-77-192-75-193-72-184
42,plate,Q8R,77-191-23-118-22-194-75-192
43,plate,Q8R,22-116-2-195-36-196-75-194
44,plate,Q8R,75-196-36-197-37-170-72-193
45,plate,Q8R,46-198-47-199-84-200-81-201
46,plate,Q8R,47-202-48-203-85-204-84-199
47,plate,Q8R,48-205-9-174-39-206-85-203
48,plate,Q8R,81-200-84-207-80-208-78-209
49,plate,Q8R,84-204-85-210-79-211-80-207
50,plate,Q8R,85-206-39-171-38-212-79-210
51,plate,Q8R,38-168-8-213-49-214-79-212
52,plate,Q8R,79-214-49-215-50-216-80-211
53,plate,Q8R,80-216-50-217-51-218-78-208
54,plate,Q8R,51-219-52-220-82-221-78-218
55,plate,Q8R,52-222-7-163-35-223-82-220
56,plate,Q8R,35-161-34-224-86-225-82-223
57,plate,Q8R,34-157-6-226-53-227-86-224
58,plate,Q8R,82-225-86-228-83-229-78-221
59,plate,Q8R,86-227-53-230-54-231-83-228
60,plate,Q8R,54-232-55-233-87-234-83-231
61,plate,Q8R,55-235-11-236-45-237-87-233
62,plate,Q8R,83-234-87-238-81-209-78-229
63,plate,Q8R,87-237-45-239-46-201-81-238
