node,dof
5,0
146,0
30,0
143,0
29,0
141,0
0,0
95,0
15,0
92,0
14,0
88,0
13,0
135,0
12,0
132,0
4,0
131,0
26,0
128,0
25,0
126,0
24,0
122,0
3,0
190,0
44,0
187,0
43,0
185,0
42,0
181,0
10,0
180,0
41,0
177,0
40,0
175,0
9,0
205,0
48,0
202,0
47,0
198,0
46,0
239,0
45,0
236,0
11,0
235,0
55,0
232,0
54,0
230,0
53,0
226,0
6,0
156,0
33,0
153,0
32,0
151,0
31,0
147,0

5,1
146,1
30,1
143,1
29,1
141,1
0,1
95,1
15,1
92,1
14,1
88,1
13,1
135,1
12,1
132,1
4,1
131,1
26,1
128,1
25,1
126,1
24,1
122,1
3,1
190,1
44,1
187,1
43,1
185,1
42,1
181,1
10,1
180,1
41,1
177,1
40,1
175,1
9,1
205,1
48,1
202,1
47,1
198,1
46,1
239,1
45,1
236,1
11,1
235,1
55,1
232,1
54,1
230,1
53,1
226,1
6,1
156,1
33,1
153,1
32,1
151,1
31,1
147,1

5,2
146,2
30,2
143,2
29,2
141,2
0,2
95,2
15,2
92,2
14,2
88,2
13,2
135,2
12,2
132,2
4,2
131,2
26,2
128,2
25,2
126,2
24,2
122,2
3,2
190,2
44,2
187,2
43,2
185,2
42,2
181,2
10,2
180,2
41,2
177,2
40,2
175,2
9,2
205,2
48,2
202,2
47,2
198,2
46,2
239,2
45,2
236,2
11,2
235,2
55,2
232,2
54,2
230,2
53,2
226,2
6,2
156,2
33,2
153,2
32,2
151,2
31,2
147,2

49,1
213,1
8,1
167,1
37,1
197,1
36,1
195,1
2,1
115,1
21,1
112,1
20,1
110,1
19,1
108,1
18,1
106,1
1,1
136,1
28,1
166,1
27,1
164,1
7,1
222,1
52,1
219,1
51,1
217,1
50,1
215,1

49,2
213,2
8,2
167,2
37,2
197,2
36,2
195,2
2,2
115,2
21,2
112,2
20,2
110,2
19,2
108,2
18,2
106,2
1,2
136,2
28,2
166,2
27,2
164,2
7,2
222,2
52,2
219,2
51,2
217,2
50,2
215,2
