num,section,element_type,nodes
0,plate,Q8R,0-24-1-25-2-26-3-27
1,plate,Q8R,4-28-5-29-3-26-2-30
2,plate,Q8R,6-31-0-27-3-32-7-33
3,plate,Q8R,8-34-9-35-1-24-0-36
4,plate,Q8R,10-37-11-38-5-28-4-39
5,plate,Q8R,7-32-3-29-5-40-12-41
6,plate,Q8R,13-42-8-36-0-31-6-43
7,plate,Q8R,14-44-15-45-9-34-8-46
8,plate,Q8R,16-47-17-48-11-37-10-49
9,plate,Q8R,11-50-18-51-12-40-5-38
10,plate,Q8R,19-52-14-46-8-42-13-53
11,plate,Q8R,15-44-14-54-20-55-21-56
12,plate,Q8R,21-55-20-57-17-47-16-58
13,plate,Q8R,17-59-22-60-18-50-11-48
14,plate,Q8R,23-61-20-54-14-52-19-62
15,plate,Q8R,20-61-23-63-22-59-17-57
