num,section,element_type,nodes
0,plate,Q8R,0-39-1-40-4-41-3-42
1,plate,Q8R,1-43-2-44-5-45-4-40
2,plate,Q8R,3-41-4-46-7-47-6-48
3,plate,Q8R,4-45-5-49-8-50-7-46
4,plate,Q8R,6-47-7-51-10-52-9-53
5,plate,Q8R,7-50-8-54-11-55-10-51
6,plate,Q8R,9-52-10-56-13-57-12-58
7,plate,Q8R,10-55-11-59-14-60-13-56
8,plate,Q8R,12-57-13-61-16-62-15-63
9,plate,Q8R,13-60-14-64-17-65-16-61
10,plate,Q8R,15-62-16-66-19-67-18-68
11,plate,Q8R,16-65-17-69-20-70-19-66
12,plate,Q8R,18-67-19-71-22-72-21-73
13,plate,Q8R,19-70-20-74-23-75-22-71
14,plate,Q8R,21-72-22-76-25-77-24-78
15,plate,Q8R,22-75-23-79-26-80-25-76
16,plate,Q8R,24-77-25-81-28-82-27-83
17,plate,Q8R,25-80-26-84-29-85-28-81
18,plate,Q8R,27-82-28-86-31-87-30-88
19,plate,Q8R,28-85-29-89-32-90-31-86
20,plate,Q8R,30-87-31-91-34-92-33-93
21,plate,Q8R,31-90-32-94-35-95-34-91
22,plate,Q8R,33-92-34-96-37-97-36-98
23,plate,Q8R,34-95-35-99-38-100-37-96
