num,x,y
0,-0.1,0.01
1,-0.1,0
2,-0.1,-0.01
3,-0.06781,0.01
4,-0.06781,0
5,-0.06781,-0.01
6,-0.04448,0.01
7,-0.04448,0
8,-0.04448,-0.01
9,-0.02757,0.01
10,-0.02757,0
11,-0.02757,-0.01
12,-0.01532,0.01
13,-0.01532,0
14,-0.01532,-0.01
15,-0.00644,0.01
16,-0.00644,0
17,-0.00644,-0.01
18,0,0.01
19,0,0
20,0,-0.01
21,0.00644,0.01
22,0.00644,0
23,0.00644,-0.01
24,0.01532,0.01
25,0.01532,0
26,0.01532,-0.01
27,0.02757,0.01
28,0.02757,0
29,0.02757,-0.01
30,0.04448,0.01
31,0.04448,0
32,0.04448,-0.01
33,0.06781,0.01
34,0.06781,0
35,0.06781,-0.01
36,0.1,0.01
37,0.1,0
38,0.1,-0.01
39,-0.1,0.005
40,-0.08391,0
41,-0.06781,0.005
42,-0.08391,0.01
43,-0.1,-0.005
44,-0.08391,-0.01
45,-0.06781,-0.005
46,-0.05615,0
47,-0.04448,0.005
48,-0.05615,0.01
49,-0.05615,-0.01
50,-0.04448,-0.005
51,-0.03603,0
52,-0.02757,0.005
53,-0.03603,0.01
54,-0.03603,-0.01
55,-0.02757,-0.005
56,-0.02145,0
57,-0.01532,0.005
58,-0.02145,0.01
59,-0.02145,-0.01
60,-0.01532,-0.005
61,-0.01088,0
62,-0.00644,0.005
63,-0.01088,0.01
64,-0.01088,-0.01
65,-0.00644,-0.005
66,-0.00322,0
67,0,0.005
68,-0.00322,0.01
69,-0.00322,-0.01
70,0,-0.005
71,0.00322,0
72,0.00644,0.005
73,0.00322,0.01
74,0.00322,-0.01
75,0.00644,-0.005
76,0.01088,0
77,0.01532,0.005
78,0.01088,0.01
79,0.01088,-0.01
80,0.01532,-0.005
81,0.02145,0
82,0.02757,0.005
83,0.02145,0.01
84,0.02145,-0.01
85,0.02757,-0.005
86,0.03603,0
87,0.04448,0.005
88,0.03603,0.01
89,0.03603,-0.01
90,0.04448,-0.005
91,0.05615,0
92,0.06781,0.005
93,0.05615,0.01
94,0.05615,-0.01
95,0.06781,-0.005
96,0.08391,0
97,0.1,0.005
98,0.08391,0.01
99,0.08391,-0.01
100,0.1,-0.005
