node,dof
0,0
0,1
0,2
2,0
2,1
2,2
4,0
4,1
4,2
7,0
7,1
7,2
10,0
10,1
10,2
22,0
22,1
22,2
33,0
33,1
33,2
51,0
51,1
51,2
66,0
66,1
66,2
75,0
75,1
75,2
93,0
93,1
93,2
104,0
104,1
104,2
116,0
116,1
116,2
120,0
120,1
120,2
123,0
123,1
123,2
125,0
125,1
125,2
127,0
127,1
127,2
126,0
126,1
126,2
124,0
124,1
124,2
121,0
121,1
121,2
117,0
117,1
117,2
105,0
105,1
105,2
94,0
94,1
94,2
76,0
76,1
76,2
68,0
68,1
68,2
52,0
52,1
52,2
34,0
34,1
34,2
23,0
23,1
23,2
11,0
11,1
11,2
6,0
6,1
6,2
3,0
3,1
3,2
1,0
1,1
1,2
