node,dof
0,0
0,1
0,2
2,0
2,1
2,2
4,0
4,1
4,2
7,0
7,1
7,2
10,0
10,1
10,2
22,0
22,1
22,2
33,0
33,1
33,2
51,0
51,1
51,2
66,0
66,1
66,2
75,0
75,1
75,2
93,0
93,1
93,2
104,0
104,1
104,2
116,0
116,1
116,2
120,0
120,1
120,2
123,0
123,1
123,2
125,0
125,1
125,2
127,0
127,1
127,2
126,0
126,1
126,2
124,0
124,1
124,2
121,0
121,1
121,2
117,0
117,1
117,2
105,0
105,1
105,2
94,0
94,1
94,2
76,0
76,1
76,2
68,0
68,1
68,2
52,0
52,1
52,2
34,0
34,1
34,2
23,0
23,1
23,2
11,0
11,1
11,2
6,0
6,1
6,2
3,0
3,1
3,2
1,0
1,1
1,2

28,0
28,1
28,2
32,0
32,1
32,2
38,0
38,1
38,2
39,0
39,1
39,2
43,0
43,1
43,2
47,0
47,1
47,2
53,0
53,1
53,2
57,0
57,1
57,2
62,0
62,1
62,2
69,0
69,1
69,2
73,0
73,1
73,2
79,0
79,1
79,2
83,0
83,1
83,2
87,0
87,1
87,2
90,0
90,1
90,2
96,0
96,1
96,2
99,0
99,1
99,2
95,0
95,1
95,2
89,0
89,1
89,2
88,0
88,1
88,2
84,0
84,1
84,2
80,0
80,1
80,2
74,0
74,1
74,2
70,0
70,1
70,2
61,0
61,1
61,2
58,0
58,1
58,2
54,0
54,1
54,2
48,0
48,1
48,2
44,0
44,1
44,2
40,0
40,1
40,2
37,0
37,1
37,2
31,0
31,1
31,2
