num,section,element_type,nodes
0,plate,Q8R,12-13-15-25-38-32-28-21
1,plate,Q8R,15-20-27-30-43-39-38-25
2,plate,Q8R,27-35-45-49-53-47-43-30
3,plate,Q8R,45-55-64-63-62-57-53-49
4,plate,Q8R,64-71-81-77-73-69-62-63
5,plate,Q8R,81-91-100-97-83-79-73-77
6,plate,Q8R,100-108-112-103-90-87-83-97
7,plate,Q8R,112-114-115-106-99-96-90-103
8,plate,Q8R,115-113-111-102-89-95-99-106
9,plate,Q8R,111-107-101-98-84-88-89-102
10,plate,Q8R,101-92-82-78-74-80-84-98
11,plate,Q8R,82-72-59-60-61-70-74-78
12,plate,Q8R,59-56-46-50-54-58-61-60
13,plate,Q8R,46-36-26-29-44-48-54-50
14,plate,Q8R,26-19-16-24-37-40-44-29
15,plate,Q8R,16-14-12-21-28-31-37-24
16,plate,Q8R,0-2-4-8-15-13-12-5
17,plate,Q8R,4-7-10-17-27-20-15-8
18,plate,Q8R,10-22-33-41-45-35-27-17
19,plate,Q8R,33-51-66-65-64-55-45-41
20,plate,Q8R,66-75-93-85-81-71-64-65
21,plate,Q8R,93-104-116-109-100-91-81-85
22,plate,Q8R,116-120-123-118-112-108-100-109
23,plate,Q8R,123-125-127-122-115-114-112-118
24,plate,Q8R,127-126-124-119-111-113-115-122
25,plate,Q8R,124-121-117-110-101-107-111-119
26,plate,Q8R,117-105-94-86-82-92-101-110
27,plate,Q8R,94-76-68-67-59-72-82-86
28,plate,Q8R,68-52-34-42-46-56-59-67
29,plate,Q8R,34-23-11-18-26-36-46-42
30,plate,Q8R,11-6-3-9-16-19-26-18
31,plate,Q8R,3-1-0-5-12-14-16-9
