num,x,y
0,0,-10
1,-1.9134,-9.6194
2,1.9134,-9.6194
3,-3.8268,-9.2388
4,3.8268,-9.2388
5,0,-8.5
6,-5.449,-8.1549
7,5.449,-8.1549
8,3.2528,-7.853
9,-3.2528,-7.853
10,7.0711,-7.0711
11,-7.0711,-7.0711
12,0,-7
13,1.3394,-6.7336
14,-1.3394,-6.7336
15,2.6788,-6.4672
16,-2.6788,-6.4672
17,6.0104,-6.0104
18,-6.0104,-6.0104
19,-3.8143,-5.7085
20,3.8143,-5.7085
21,0,-5.5
22,8.1549,-5.449
23,-8.1549,-5.449
24,-2.1048,-5.0813
25,2.1048,-5.0813
26,-4.9497,-4.9497
27,4.9497,-4.9497
28,0,-4
29,-3.8891,-3.8891
30,3.8891,-3.8891
31,-0.7654,-3.8478
32,0.7654,-3.8478
33,9.2388,-3.8268
34,-9.2388,-3.8268
35,5.7085,-3.8143
36,-5.7085,-3.8143
37,-1.5307,-3.6955
38,1.5307,-3.6955
39,2.1796,-3.262
40,-2.1796,-3.262
41,7.853,-3.2528
42,-7.853,-3.2528
43,2.8284,-2.8284
44,-2.8284,-2.8284
45,6.4672,-2.6788
46,-6.4672,-2.6788
47,3.262,-2.1796
48,-3.262,-2.1796
49,5.0813,-2.1048
50,-5.0813,-2.1048
51,9.6194,-1.9134
52,-9.6194,-1.9134
53,3.6955,-1.5307
54,-3.6955,-1.5307
55,6.7336,-1.3394
56,-6.7336,-1.3394
57,3.8478,-0.7654
58,-3.8478,-0.7654
59,-7,0
60,-5.5,0
61,-4,0
62,4,0
63,5.5,0
64,7,0
65,8.5,0
66,10,0
67,-8.5,0
68,-10,0
69,3.8478,0.7654
70,-3.8478,0.7654
71,6.7336,1.3394
72,-6.7336,1.3394
73,3.6955,1.5307
74,-3.6955,1.5307
75,9.6194,1.9134
76,-9.6194,1.9134
77,5.0813,2.1048
78,-5.0813,2.1048
79,3.262,2.1796
80,-3.262,2.1796
81,6.4672,2.6788
82,-6.4672,2.6788
83,2.8284,2.8284
84,-2.8284,2.8284
85,7.853,3.2528
86,-7.853,3.2528
87,2.1796,3.262
88,-2.1796,3.262
89,-1.5307,3.6955
90,1.5307,3.6955
91,5.7085,3.8143
92,-5.7085,3.8143
93,9.2388,3.8268
94,-9.2388,3.8268
95,-0.7654,3.8478
96,0.7654,3.8478
97,3.8891,3.8891
98,-3.8891,3.8891
99,0,4
100,4.9497,4.9497
101,-4.9497,4.9497
102,-2.1048,5.0813
103,2.1048,5.0813
104,8.1549,5.449
105,-8.1549,5.449
106,0,5.5
107,-3.8143,5.7085
108,3.8143,5.7085
109,6.0104,6.0104
110,-6.0104,6.0104
111,-2.6788,6.4672
112,2.6788,6.4672
113,-1.3394,6.7336
114,1.3394,6.7336
115,0,7
116,7.0711,7.0711
117,-7.0711,7.0711
118,3.2528,7.853
119,-3.2528,7.853
120,5.449,8.1549
121,-5.449,8.1549
122,0,8.5
123,3.8268,9.2388
124,-3.8268,9.2388
125,1.9134,9.6194
126,-1.9134,9.6194
127,0,10
