num,x,y
0,0,0
1,2.5,1
2,5,2
3,7.5,3
4,10,4
5,12.5,5
6,15,6
7,17.5,7
8,20,8
9,0,1.25
10,5,3.1875
11,10,5.125
12,15,7.0625
13,20,9
14,0,2.5
15,2.5,3.4375
16,5,4.375
17,7.5,5.3125
18,10,6.25
19,12.5,7.1875
20,15,8.125
21,17.5,9.0625
22,20,10
23,0,3.75
24,5,5.5625
25,10,7.375
26,15,9.1875
27,20,11
28,0,5
29,2.5,5.875
30,5,6.75
31,7.5,7.625
32,10,8.5
33,12.5,9.375
34,15,10.25
35,17.5,11.125
36,20,12
37,0,6.25
38,5,7.9375
39,10,9.625
40,15,11.3125
41,20,13
42,0,7.5
43,2.5,8.1325
44,5,9.125
45,7.5,9.9375
46,10,10.75
47,12.5,11.5625
48,15,12.375
49,17.5,13.1875
50,20,14
51,0,8.75
52,5,10.3125
53,10,11.875
54,15,13.4375
55,20,15
56,0,10
57,2.5,10.75
58,5,11.5
59,7.5,12.25
60,10,13
61,12.5,13.75
62,15,14.5
63,17.5,15.25
64,20,16
