num,x,y
0,0,0
1,1.25,0.25
2,2.5,0.5
3,3.75,0.75
4,5,1
5,6.25,1.25
6,7.5,1.5
7,8.75,1.75
8,10,2
9,0,0.15
10,2.5,0.625
11,5,1.1
12,7.5,1.575
13,10,2.05
14,0,0.3
15,1.25,0.525
16,2.5,0.75
17,3.75,0.975
18,5,1.2
19,6.25,1.425
20,7.5,1.65
21,8.75,1.875
22,10,2.1
23,0,0.45
24,2.5,0.875
25,5,1.3
26,7.5,1.725
27,10,2.15
28,0,0.6
29,1.25,0.8
30,2.5,1
31,3.75,1.2
32,5,1.4
33,6.25,1.6
34,7.5,1.8
35,8.75,2
36,10,2.2
37,0,0.75
38,2.5,1.125
39,5,1.5
40,7.5,1.875
41,10,2.25
42,0,0.9
43,1.25,1.075
44,2.5,1.25
45,3.75,1.425
46,5,1.6
47,6.25,1.775
48,7.5,1.95
49,8.75,2.125
50,10,2.3
51,0,1.05
52,2.5,1.375
53,5,1.7
54,7.5,2.025
55,10,2.35
56,0,1.2
57,1.25,1.35
58,2.5,1.5
59,3.75,1.65
60,5,1.8
61,6.25,1.95
62,7.5,2.1
63,8.75,2.25
64,10,2.4
